Emp No,Worker Name,Designation,Worker Type,Payment Basis,Daily Rate,Date,Day,Status,AM In,AM Out,PM In,PM Out,Total Hours,Regular Hours,OT Hours,Remarks
EMP-1780902715,Juan Delacruz,,,,1000.0,2026-05-01,Friday,HOLIDAY,,,,,0.0,0.0,0.0,Labor Day - no biometric logs
EMP-1780902715,Juan Delacruz,,,,1000.0,2026-05-02,Saturday,PRESENT,06:52,12:04,13:04,15:54,8.03,8.0,0.02999999999999936,Biometric captured
EMP-1780902715,Juan Delacruz,,,,1000.0,2026-05-03,Sunday,REST DAY,,,,,0.0,0.0,0.0,Sunday rest day
EMP-1780902715,Juan Delacruz,,,,1000.0,2026-05-04,Monday,PRESENT,06:51,12:02,12:56,17:01,9.27,8.0,1.2699999999999996,Biometric captured
EMP-1780902715,Juan Delacruz,,,,1000.0,2026-05-05,Tuesday,PRESENT,07:01,12:05,13:02,16:53,8.92,8.0,0.9199999999999999,Biometric captured
EMP-1780902715,Juan Delacruz,,,,1000.0,2026-05-06,Wednesday,PRESENT,07:06,11:55,13:01,16:58,8.77,8.0,0.7699999999999996,Biometric captured
EMP-1780902715,Juan Delacruz,,,,1000.0,2026-05-07,Thursday,PRESENT,07:05,11:57,12:57,17:06,9.02,8.0,1.0199999999999996,Biometric captured
EMP-1780902715,Juan Delacruz,,,,1000.0,2026-05-08,Friday,PRESENT,06:54,11:58,12:55,16:54,9.05,8.0,1.0500000000000007,Biometric captured
EMP-1780902715,Juan Delacruz,,,,1000.0,2026-05-09,Saturday,PRESENT,07:10,11:56,13:02,16:01,7.75,7.75,0,Biometric captured
EMP-1780902715,Juan Delacruz,,,,1000.0,2026-05-10,Sunday,REST DAY,,,,,0.0,0.0,0.0,Sunday rest day
EMP-1780902715,Juan Delacruz,,,,1000.0,2026-05-11,Monday,PRESENT,06:59,11:58,12:57,17:02,9.07,8.0,1.0700000000000003,Biometric captured
EMP-1780902715,Juan Delacruz,,,,1000.0,2026-05-12,Tuesday,PRESENT,06:50,12:05,13:00,17:04,9.32,8.0,1.3200000000000003,Biometric captured
EMP-1780902715,Juan Delacruz,,,,1000.0,2026-05-13,Wednesday,PRESENT,07:07,12:00,12:57,17:03,8.98,8.0,0.9800000000000004,Biometric captured
EMP-1780902715,Juan Delacruz,,,,1000.0,2026-05-14,Thursday,ABSENT,,,,,0.0,0.0,0.0,No biometric logs
EMP-1780902715,Juan Delacruz,,,,1000.0,2026-05-15,Friday,PRESENT,07:09,12:02,13:01,17:05,8.95,8.0,0.9499999999999993,Biometric captured
EMP-1780902715,Juan Delacruz,,,,1000.0,2026-05-16,Saturday,PRESENT,06:54,11:56,13:04,15:56,7.9,7.9,0,Biometric captured
EMP-1780902715,Juan Delacruz,,,,1000.0,2026-05-17,Sunday,REST DAY,,,,,0.0,0.0,0.0,Sunday rest day
EMP-1780902715,Juan Delacruz,,,,1000.0,2026-05-18,Monday,PRESENT,06:53,12:05,12:57,17:06,9.35,8.0,1.3499999999999996,Biometric captured
EMP-1780902715,Juan Delacruz,,,,1000.0,2026-05-19,Tuesday,PRESENT,06:55,12:04,13:05,17:06,9.17,8.0,1.17,Biometric captured
EMP-1780902715,Juan Delacruz,,,,1000.0,2026-05-20,Wednesday,PRESENT,07:09,12:04,12:57,16:56,8.9,8.0,0.9000000000000004,Biometric captured
EMP-1780902715,Juan Delacruz,,,,1000.0,2026-05-21,Thursday,PRESENT,07:10,11:56,12:58,16:52,8.67,8.0,0.6699999999999999,Biometric captured
EMP-1780902715,Juan Delacruz,,,,1000.0,2026-05-22,Friday,PRESENT,06:57,11:55,13:00,17:06,9.07,8.0,1.0700000000000003,Biometric captured
EMP-1780902715,Juan Delacruz,,,,1000.0,2026-05-23,Saturday,PRESENT,07:01,11:57,12:55,16:08,8.15,8.0,0.15000000000000036,Biometric captured
EMP-1780902715,Juan Delacruz,,,,1000.0,2026-05-24,Sunday,REST DAY,,,,,0.0,0.0,0.0,Sunday rest day
EMP-1780902715,Juan Delacruz,,,,1000.0,2026-05-25,Monday,PRESENT,07:08,12:01,13:04,17:03,8.87,8.0,0.8699999999999992,Biometric captured
EMP-1780902715,Juan Delacruz,,,,1000.0,2026-05-26,Tuesday,PRESENT,07:09,12:02,13:03,16:52,8.7,8.0,0.6999999999999993,Biometric captured
EMP-1780902715,Juan Delacruz,,,,1000.0,2026-05-27,Wednesday,PRESENT,06:52,11:59,12:55,17:01,9.22,8.0,1.2200000000000006,Biometric captured
EMP-1780902715,Juan Delacruz,,,,1000.0,2026-05-28,Thursday,PRESENT,07:03,11:57,12:56,16:57,8.92,8.0,0.9199999999999999,Biometric captured
EMP-1780902715,Juan Delacruz,,,,1000.0,2026-05-29,Friday,PRESENT,07:05,11:58,13:04,16:58,8.78,8.0,0.7799999999999994,Biometric captured
EMP-1780902715,Juan Delacruz,,,,1000.0,2026-05-30,Saturday,PRESENT,07:10,12:04,13:05,15:58,7.78,7.78,0,Biometric captured
EMP-1780902715,Juan Delacruz,,,,1000.0,2026-05-31,Sunday,REST DAY,,,,,0.0,0.0,0.0,Sunday rest day
EMP-1780902612,Federico Diagono,,,,1916.93,2026-05-01,Friday,HOLIDAY,,,,,0.0,0.0,0.0,Labor Day - no biometric logs
EMP-1780902612,Federico Diagono,,,,1916.93,2026-05-02,Saturday,PRESENT,07:02,12:05,13:03,16:02,8.03,8.0,0.02999999999999936,Biometric captured
EMP-1780902612,Federico Diagono,,,,1916.93,2026-05-03,Sunday,REST DAY,,,,,0.0,0.0,0.0,Sunday rest day
EMP-1780902612,Federico Diagono,,,,1916.93,2026-05-04,Monday,PRESENT,07:05,12:05,12:59,16:57,8.97,8.0,0.9700000000000006,Biometric captured
EMP-1780902612,Federico Diagono,,,,1916.93,2026-05-05,Tuesday,PRESENT,06:52,12:01,13:01,17:03,9.18,8.0,1.1799999999999997,Biometric captured
EMP-1780902612,Federico Diagono,,,,1916.93,2026-05-06,Wednesday,PRESENT,07:05,12:02,13:03,17:02,8.93,8.0,0.9299999999999997,Biometric captured
EMP-1780902612,Federico Diagono,,,,1916.93,2026-05-07,Thursday,PRESENT,07:04,12:05,13:01,16:58,8.97,8.0,0.9700000000000006,Biometric captured
EMP-1780902612,Federico Diagono,,,,1916.93,2026-05-08,Friday,PRESENT,07:05,12:05,12:58,17:06,9.13,8.0,1.1300000000000008,Biometric captured
EMP-1780902612,Federico Diagono,,,,1916.93,2026-05-09,Saturday,PRESENT,06:58,12:05,12:56,16:08,8.32,8.0,0.3200000000000003,Biometric captured
